recNum,V,k,L,phi_L,M,phi_M
3060,80.2,0.147,0.502,178,0.133,334
3061,80.2,0.137,0.502,179,0.135,337
3063,80.2,0.128,0.506,176,0.136,339
3064,80.2,0.115,0.502,177,0.134,337
3065,80.2,0.204,0.488,180,0.139,327
3066,80.2,0.186,0.488,179,0.140,329
3067,80.2,0.172,0.498,179,0.139,334
3068,80.2,0.168,0.495,176,0.140,333
3070,80.2,0.250,0.497,181,0.132,324
3071,80.2,0.238,0.497,182,0.132,324
3072,80.2,0.222,0.504,181,0.130,326
3073,80.2,0.208,0.504,186,0.132,323
3075,80.3,0.286,0.509,186,0.130,323
3076,80.3,0.271,0.504,182,0.132,325
3077,80.3,0.255,0.493,184,0.130,324
3105,91.5,0.130,0.494,178,0.135,337
3106,91.5,0.121,0.510,178,0.134,337
3107,91.6,0.106,0.497,177,0.135,340
3109,91.7,0.174,0.494,181,0.135,335
3110,91.7,0.161,0.494,181,0.135,335
3111,91.7,0.150,0.494,180,0.135,336
3112,91.7,0.140,0.502,179,0.138,333
3120,91.7,0.212,0.481,182,0.134,329
3121,91.7,0.207,0.481,183,0.130,330
3122,91.7,0.191,0.480,179,0.134,331
3123,91.7,0.183,0.500,176,0.134,330
3125,91.8,0.245,0.483,179,0.135,320
3126,91.8,0.237,0.488,179,0.135,321
3127,91.8,0.230,0.481,183,0.138,324
3129,103.6,0.116,0.509,173,0.130,335
3130,103.6,0.104,0.509,172,0.132,335
3131,103.7,0.097,0.499,171,0.132,337
3133,103.7,0.154,0.504,174,0.130,331
3134,103.7,0.124,0.499,175,0.133,336
3138,103.8,0.186,0.505,175,0.130,325
3139,103.8,0.180,0.499,174,0.129,326
3140,103.8,0.173,0.495,173,0.130,327
3141,103.8,0.160,0.499,173,0.133,328
3143,103.9,0.220,0.495,174,0.140,324
3144,103.9,0.210,0.490,174,0.140,328
3145,103.9,0.200,0.490,175,0.138,328
3682,91.5,0.302,0.512,182,0.127,327
3683,91.5,0.300,0.500,187,0.127,327
3684,91.5,0.267,0.500,184,0.131,331
3685,91.5,0.275,0.512,184,0.132,326
3687,91.7,0.266,0.496,186,0.127,329
3688,91.7,0.248,0.515,184,0.129,333
3689,91.7,0.240,0.492,185,0.129,335
3690,91.7,0.226,0.505,189,0.131,333
3699,91.8,0.212,0.505,187,0.129,339
3700,91.8,0.205,0.500,182,0.127,331
3701,91.8,0.194,0.505,186,0.126,336
3702,91.8,0.181,0.520,188,0.132,341
3703,92.0,0.175,0.515,182,0.129,338
3704,92.0,0.158,0.520,185,0.137,340
3705,92.0,0.153,0.524,184,0.136,341
3706,92.0,0.141,0.527,183,0.132,343
3708,92.0,0.218,0.515,182,0.134,335
3709,92.0,0.205,0.512,183,0.129,331
3710,92.0,0.203,0.512,185,0.131,332
3711,92.0,0.181,0.520,183,0.129,335
3713,91.7,0.322,0.496,184,0.129,317
3715,91.7,0.317,0.512,181,0.136,322
3718,91.7,0.369,0.500,192,0.138,318
3719,91.7,0.353,0.492,186,0.138,318
3720,91.7,0.338,0.500,186,0.131,316
